asn,isp
2587,OOO FREEnet Group
2588,SIA BITE Latvija
2589,Wanstor Ltd
2590,Data Techno Park Sp. z o. o.
2592,Ege University
2593,Universita di Padova
2594,CSI Piemonte
2595,CSP s.c. a r.l.
2597,Consiglio Nazionale delle Ricerche
2600,ICBC TURKEY BANK A.S
2601,Radio-Link LLC
2602,Fondation RESTENA
2603,NORDUnet
2606,Wifiber.es SL
2607,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete
2609,Tunisia BackBone AS
2611,BELNET
2613,Willem van Gulik
2614,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si C
2615,Bechtel Corporation
2621,DoD Network Information Center
2631,Discovery Communications
2633,National Academy of Sciences
2635,Automattic Inc
2636,LOUISVILLE AND JEFFERSON COUNTY METROPOLITAN SEWER DISTRICT
2637,Georgia Institute of Technology
2639,ZOHO
2640,Ames Laboratory
2641,The Scripps Research Institute
2642,California Department of Technology
2643,Institute for High Energy Physics named by A.A. Logunov of National Research Ce
2646,Synaptics Incorporated
2647,Societe Internationale de Telecommunications Aeronautiques
2648,National Oceanic and Atmospheric Administration
2650,Executive Office Of The President 
2653,Shared Services Canada
2665,Shared Services Canada
2667,Shared Services Canada
2675,Shared Services Canada
2680,Shared Services Canada
2682,Shared Services Canada
2683,Federal State Budgetary Educational Institution of Higher Education Lomonosov M
2685,AT&T Global Network Services LLC
2686,AT&T Global Network Services LLC
2687,AT&T Global Network Services LLC
2688,AT&T Global Network Services LLC
2695,RJ Reynolds Tobacco Company
2697,ERNET India
2698,Iowa State University of Science and Technology
2701,Kansas State University
2703,Data-Prompt Inc.
2705,BJC HEALTH SYSTEM
2707,First Communications LLC
2708,Universidad de Guanajuato
2711,Spirit Communications
2715,Fundação Carlos Chagas Filho de Amparo a Pesquisa
2716,Universidade Federal do Rio Grande do Sul
2721,CULR LLC
2722,CULR LLC
2723,ENDURANCE REINSURANCE CORPORATION OF AMERICA
2725,Berkeley Educational Services of New Jersey Inc.
2726,Webformix
2727,Electric Plant Board of the City of Glasgow Kentucky
2728,Gigsouth LLC
2731,Infinity Fiber LLC
2732,Valliant Telephone Co INC
2733,Addrex Inc
2734,CoreSite
2735,Eastern Irrigation District
2738,Shields Health Care Group
2740,Caribbean Cable Communications
2749,Navy Network Information Center (NNIC)
2756,Ernst & Young Services Pty Ltd
2764,AAPT Limited
2768,The County of Erie
2769,State of Nebraska - Office of the Chief Information Officer
2773,Deutsche Telekom AG
