xmltv_id,site_id,name,channelNumber,logoUrl
programandroid-Šlágr Premium HD,Šlágr Premium HD,,,Viasat History HD
programandroid-Senzi,Senzi,,Viasat History HD,Stingray Classica HD
programandroid-TA3 HD,TA3 HD,,,Viasat Nature HD
programandroid-Skylink 7,Skylink 7,,Viasat Nature HD,Stingray CMusic
programandroid-Televize Seznam,Televize Seznam,,,Vivid TV Europe
programandroid-Travelxp HD,Travelxp HD,,,VIXEN HD
programandroid-Sky News International,Sky News International,,VIXEN HD,Stingray iConcerts HD
programandroid-TV Barrandov HD,TV Barrandov HD,,,WAU HD
programandroid-,,,10,
programandroid-,,,1013,
programandroid-,,,1021,
programandroid-,,,11,
programandroid-,,,1124,
programandroid-,,,1125,
programandroid-,,,1127,
programandroid-,,,1143,
programandroid-,,,1146,
programandroid-,,,1162,
programandroid-,,,1164,
programandroid-,,,1165,
programandroid-,,,1173,
programandroid-,,,1174,
programandroid-,,,1193,
programandroid-,,,1194,
programandroid-,,,1211,
programandroid-,,,1239,
programandroid-,,,1240,
programandroid-,,,1253,
programandroid-,,,1305,
programandroid-,,,1306,
programandroid-,,,1307,
programandroid-,,,1308,
programandroid-,,,1309,
programandroid-,,,1310,
programandroid-,,,1315,
programandroid-,,,1323,
programandroid-,,,1324,
programandroid-,,,1326,
programandroid-,,,1363,
programandroid-,,,1364,
programandroid-,,,1408,
programandroid-,,,142,
programandroid-,,,1472,
programandroid-,,,150,
programandroid-,,,1502,
programandroid-,,,1512,
programandroid-,,,1514,
programandroid-,,,1522,
programandroid-,,,15237,
programandroid-,,,15238,
programandroid-,,,15239,
programandroid-,,,15290,
programandroid-,,,15291,
programandroid-,,,15292,
programandroid-,,,15297,
programandroid-,,,15298,
programandroid-,,,15299,
programandroid-,,,15321,
programandroid-,,,15322,
programandroid-,,,15402,
programandroid-,,,15403,
programandroid-,,,15408,
programandroid-,,,15409,
programandroid-,,,15410,
programandroid-,,,15412,
programandroid-,,,15426,
programandroid-,,,15427,
programandroid-,,,15428,
programandroid-,,,15429,
programandroid-,,,15430,
programandroid-,,,15431,
programandroid-,,,15440,
programandroid-,,,15441,
programandroid-,,,15450,
programandroid-,,,191,
programandroid-,,,206,
programandroid-,,,222,
programandroid-,,,225,
programandroid-,,,241,
programandroid-,,,33,
programandroid-,,,42,
programandroid-,,,524,
programandroid-,,,683,
programandroid-,,,687,
programandroid-,,,718,
programandroid-,,,735,
programandroid-,,,8,
programandroid-,,,800,
programandroid-,,,833,
programandroid-,,,985,
programandroid-,,,999,
