Channel Name,EPG Code (tvg-id),ID
Cartoon Network HD,horizon-10091,lgi-obolite-sk-prod-master:10091
Cartoon Network HD,o2-96,Cartoon Network
CBS Reality,horizon-10050,lgi-obolite-sk-prod-master:10050
CBS Reality,mujtvprogram-323,323
CBS Reality,programandroid-32,32
CETV,programandroid-524,524
CH1 Russia,o2-157,CH1 Russia
Chuck,ChuckTV.sk,Chuck%20TV
Cinemax,mujtvprogram-7,7
Cinemax,programandroid-66,66
Cinemax 2,mujtvprogram-112,112
Cinemax 2,programandroid-80,80
Cinemax 2 HD,horizon-10124,lgi-obolite-sk-prod-master:10124
Cinemax 2 HD,o2-34,Cinemax 2 HD
Cinemax HD,horizon-10123,lgi-obolite-sk-prod-master:10123
Cinemax HD,o2-33,Cinemax HD
Club MTV,horizon-10094,lgi-obolite-sk-prod-master:10094
Club MTV,mujtvprogram-131,131
Club MTV,o2-127,MTV Dance
CNBC Europe HD,horizon-10110,lgi-obolite-sk-prod-master:10110
CNN,horizon-10108,lgi-obolite-sk-prod-master:10108
CNN,o2-142,CNN
CNN Prima News,mujtvprogram-818,818
CNN Prima News,o2-141,CNNPrimaNews
CNN Prima News,programandroid-1338,1338
CNN Prima News HD,horizon-10026,lgi-obolite-sk-prod-master:10026
Cool TV,horizon-10149,lgi-obolite-sk-prod-master:10149
Crime & Investigation,mujtvprogram-368,368
Crime and Investigation,horizon-10051,lgi-obolite-sk-prod-master:10051
Crime and Investigation,programandroid-832,832
Crime+Investigation,o2-63,CrimeInvestigation
CS Film,mujtvprogram-15,15
CS Film,o2-38,CS Film
CS Film,programandroid-1149,1149
CS Film CS Horror HD,horizon-10046,lgi-obolite-sk-prod-master:10046
CS History,horizon-10047,lgi-obolite-sk-prod-master:10047
CS History,mujtvprogram-755,755
CS History,o2-61,CSHistory
CS History,programandroid-1187,1187
CS Horror,mujtvprogram-756,756
CS Horror,o2-49,HOROR FILM
CS Horror,programandroid-713,713
CS Mystery,horizon-10048,lgi-obolite-sk-prod-master:10048
CS Mystery,mujtvprogram-757,757
CS Mystery,programandroid-717,717
CT 1 HD,horizon-10018,lgi-obolite-sk-prod-master:10018
CT 2 HD,horizon-10019,lgi-obolite-sk-prod-master:10019
CT 24 HD,horizon-10021,lgi-obolite-sk-prod-master:10021
CT D HD / CT art HD,horizon-10020,lgi-obolite-sk-prod-master:10020
CT sport HD,horizon-10082,lgi-obolite-sk-prod-master:10082
Current Time,horizon-10194,lgi-obolite-sk-prod-master:10194
Dajto,mujtvprogram-308,308
Dajto HD,horizon-10008,lgi-obolite-sk-prod-master:10008
Deluxe Music,mujtvprogram-235,235
Deutsche Welle,horizon-10109,lgi-obolite-sk-prod-master:10109
Deutsche Welle,o2-147,Deutsche Welle
Discovery,mujtvprogram-12,12
Discovery,programandroid-15,15
Discovery HD,horizon-10052,lgi-obolite-sk-prod-master:10052
Discovery HD,o2-56,Discovery
Discovery Science,mujtvprogram-98,98
Discovery Science,o2-58,Discovery Science
Discovery Science,programandroid-92,92
Discovery Science HD,horizon-10053,lgi-obolite-sk-prod-master:10053
Disney Channel,horizon-10086,lgi-obolite-sk-prod-master:10086
Disney Channel,DisneyChannelCzechRepublic.cz,Disney+Channel
Disney Channel,mujtvprogram-31,31
Disney Channel,o2-90,Disney Channel
Disney Channel,programandroid-228,228
Disney Junior,mujtvprogram-355,355
DocuBox,mujtvprogram-317,317
Docubox HD,horizon-10129,lgi-obolite-sk-prod-master:10129
Dom Kino,horizon-10174,lgi-obolite-sk-prod-master:10174
Dom Kino PREMIUM HD,horizon-10173,lgi-obolite-sk-prod-master:10173
Doma,mujtvprogram-182,182
Doma,programandroid-225,225
Doma HD,horizon-10004,lgi-obolite-sk-prod-master:10004
Dorcel TV,mujtvprogram-533,533
Dorcel XXX,mujtvprogram-761,761
DTX,o2-57,DTX
DTX,programandroid-1129,1129
DTX HD,horizon-10054,lgi-obolite-sk-prod-master:10054
Duck Plus,DuckTVPlus.sk,ducktv+plus
duck.tv,programandroid-150,150
Ducktv,mujtvprogram-109,109
ducktv,o2-98,ducktv
ducktv,programandroid-222,222
ducktv HD,horizon-10084,lgi-obolite-sk-prod-master:10084
ducktv plus,programandroid-1323,1323
Duna,horizon-10146,lgi-obolite-sk-prod-master:10146
Duna World,horizon-10145,lgi-obolite-sk-prod-master:10145
Dvojka,mujtvprogram-180,180
Dvojka,o2-163,Dvojka
Dvojka HD,horizon-10002,lgi-obolite-sk-prod-master:10002
E! Entertainment,horizon-10203,lgi-obolite-sk-prod-master:10203
E! Entertainment,mujtvprogram-410,410
E! Europe,EEurope.us,E%21+Entertainment
Edge Sport HD,o2-87,EdgeSportHD
Epic Drama,EpicDrama.se,Epic+Drama
Epic Drama,mujtvprogram-601,601
Epic Drama,programandroid-1209,1209
Epic Drama HD,o2-39,Epic Drama HD
Erox HD,mujtvprogram-300,300
Erox HD,programandroid-591,591
EroXXX HD,horizon-10131,lgi-obolite-sk-prod-master:10131
EroXXX HD,mujtvprogram-328,328
Espreso TV,horizon-10192,lgi-obolite-sk-prod-master:10192
Euronews FR,horizon-10114,lgi-obolite-sk-prod-master:10114
Euronews HD,horizon-10111,lgi-obolite-sk-prod-master:10111
Euronews HU,horizon-10152,lgi-obolite-sk-prod-master:10152
Eurosport 1,mujtvprogram-16,16
Eurosport 1,programandroid-9,9
Eurosport 1 HD,horizon-10072,lgi-obolite-sk-prod-master:10072
Eurosport 1 HD,o2-82,Eurosport 1 HD
Eurosport 2,mujtvprogram-25,25
Eurosport 2,programandroid-59,59
Eurosport 2 HD,horizon-10073,lgi-obolite-sk-prod-master:10073
Eurosport 2 HD,o2-83,Eurosport 2 HD
Extasy,programandroid-1138,1138
Extasy 4K Platinum,programandroid-15299,15299
Extasy HD,horizon-10136,lgi-obolite-sk-prod-master:10136
Extreme Sports,horizon-10079,lgi-obolite-sk-prod-master:10079
Extreme Sports Channel,mujtvprogram-85,85
Fashion TV,mujtvprogram-119,119
Fashion TV,o2-116,Fashion TV
Fashion TV HD,horizon-10105,lgi-obolite-sk-prod-master:10105
FashionBox,horizon-10202,lgi-obolite-sk-prod-master:10202
FashionBox HD,mujtvprogram-338,338
FashionTV,programandroid-83,83
Fast & FunBox HD,horizon-10130,lgi-obolite-sk-prod-master:10130
Fast&FunBox HD,mujtvprogram-404,404
Fem3,horizon-10161,lgi-obolite-sk-prod-master:10161
Fightbox HD,horizon-10128,lgi-obolite-sk-prod-master:10128
FightBox HD,mujtvprogram-301,301
FightBox HD,o2-86,FightBoxHD
Film Europe,FilmEurope.cz,Film+Europe
Film Europe,mujtvprogram-272,272
Film Europe,programandroid-570,570
Film Europe +,FilmEuropePlus.cz,Film+Europe+%2B
Film Europe +,o2-41,FilmEurope+
Film Europe +,programandroid-1341,1341
Film Europe + HD,mujtvprogram-816,816
Film Europe HD,o2-40,Film Europe HD
Film+,mujtvprogram-63,63
Film+,programandroid-68,68
Film+ CZ HD,horizon-10043,lgi-obolite-sk-prod-master:10043
FILM+ HU,horizon-10162,lgi-obolite-sk-prod-master:10162
FilmBox,mujtvprogram-64,64
Filmbox,programandroid-72,72
FilmBox Arthouse,horizon-10201,lgi-obolite-sk-prod-master:10201
FilmBox Central Europe,FilmBoxCentralEurope.us,Filmbox
FilmBox Extra HD,horizon-10125,lgi-obolite-sk-prod-master:10125
FilmBox Extra HD,mujtvprogram-121,121
FilmBox Extra HD,o2-35,Filmbox Extra HD
Filmbox Extra HD,programandroid-182,182
FilmBox Family,horizon-10045,lgi-obolite-sk-prod-master:10045
FilmBox Family,mujtvprogram-271,271
Filmbox Family,o2-37,Filmbox Family
Filmbox Family,programandroid-576,576
FilmBox HD,horizon-10044,lgi-obolite-sk-prod-master:10044
Filmbox HD,o2-23,Filmbox
Filmbox HU,horizon-10144,lgi-obolite-sk-prod-master:10144
FilmBox Plus,mujtvprogram-65,65
FilmBox Premium,mujtvprogram-397,397
Filmbox Premium,programandroid-592,592
FilmBox Premium HD,horizon-10126,lgi-obolite-sk-prod-master:10126
Filmbox Premium HD,o2-24,Filmbox Premium HD
FilmBox Stars,o2-36,FilmBox Plus
Filmbox Stars,programandroid-76,76
FilmBox Stars HD,horizon-10127,lgi-obolite-sk-prod-master:10127
Fishing & Hunting,mujtvprogram-102,102
Fishing and Hunting,horizon-10068,lgi-obolite-sk-prod-master:10068
Fishing and Hunting,o2-117,FishingandHunting
Florena,programandroid-15431,15431
Folklorika,programandroid-1309,1309
Folklorika HD,horizon-10014,lgi-obolite-sk-prod-master:10014
Food Network,mujtvprogram-471,471
Food network,o2-110,Food network
Food Network HD,horizon-10056,lgi-obolite-sk-prod-master:10056
Food Network HD,programandroid-1039,1039
France 24,horizon-10112,lgi-obolite-sk-prod-master:10112
FRANCE 24,o2-146,FRANCE 24
France 24 Eng,o2-148,France 24 Eng
GameToon,o2-119,Gametoon
Ginx eSports TV,mujtvprogram-376,376
GINX Esports TV HD,o2-118,Ginx
Golf Channel,mujtvprogram-225,225
Golf Channel,programandroid-127,127
Golf Channel HD,horizon-10078,lgi-obolite-sk-prod-master:10078
Golf Channel HD,o2-85,Golf Channel HD
HaHa TV,programandroid-1363,1363
HBO,mujtvprogram-5,5
HBO,programandroid-6,6
HBO 2 HD,horizon-10121,lgi-obolite-sk-prod-master:10121
HBO 3 HD,horizon-10122,lgi-obolite-sk-prod-master:10122
HBO HD,horizon-10120,lgi-obolite-sk-prod-master:10120
HBO HD,o2-30,HBO HD
HBO2,mujtvprogram-6,6
HBO2,programandroid-54,54
HBO2 HD,o2-31,HBO2 HD
HBO3,mujtvprogram-512,512
HBO3,programandroid-115,115
HBO3 HD,o2-32,HBO3 HD
HGTV,programandroid-15322,15322
HGTV HD,o2-112,HGTVHD
HirTV,horizon-10137,lgi-obolite-sk-prod-master:10137
History,o2-62,History
History Channel,HistoryHDCzechRepublic.cz,History+Channel
History Channel,mujtvprogram-125,125
History Channel,programandroid-202,202
History HD,horizon-10057,lgi-obolite-sk-prod-master:10057
Hobby TV,programandroid-1213,1213
Hobby TV HD,horizon-10069,lgi-obolite-sk-prod-master:10069
Hustler,mujtvprogram-72,72
ID,o2-59,Investigation Discovery
ID HD,horizon-10055,lgi-obolite-sk-prod-master:10055
Investigation Discovery,mujtvprogram-384,384
Investigation Discovery,programandroid-223,223
Jednotka,mujtvprogram-181,181
Jednotka,o2-46,STV1
Jednotka HD,horizon-10001,lgi-obolite-sk-prod-master:10001
Jihočeská televize,programandroid-850,850
Jim Jam,programandroid-137,137
JimJam,horizon-10087,lgi-obolite-sk-prod-master:10087
JimJam,mujtvprogram-77,77
JOJ,mujtvprogram-185,185
JOJ,programandroid-33,33
JOJ 24,mujtvprogram-1042,1042
JOJ 24,programandroid-15441,15441
JOJ 24 HD,horizon-10198,lgi-obolite-sk-prod-master:10198
JOJ Cinema,mujtvprogram-459,459
JOJ Cinema,programandroid-1023,1023
JOJ Cinema HD,horizon-10007,lgi-obolite-sk-prod-master:10007
JoJ Cinema HD,o2-42,JoJ Cinema HD
JOJ Family,mujtvprogram-532,532
JOJ Family,programandroid-1141,1141
JoJ Family HD,o2-43,JoJ Family HD
JOJ HD,horizon-10005,lgi-obolite-sk-prod-master:10005
JOJ Plus,programandroid-206,206
JOJ Plus HD,horizon-10006,lgi-obolite-sk-prod-master:10006
JOJ Sport HD,horizon-10185,lgi-obolite-sk-prod-master:10185
JOJ Šport,mujtvprogram-924,924
JOJ Šport,programandroid-15291,15291
Jojko,mujtvprogram-398,398
Jojko,programandroid-999,999
Jojko HD,horizon-10011,lgi-obolite-sk-prod-master:10011
Kabel eins,horizon-10163,lgi-obolite-sk-prod-master:10163
Kino Barrandov,mujtvprogram-454,454
Kino Barrandov,o2-64,KINO Barrandov
Kino Barrandov,programandroid-1018,1018
Kino Barrandov HD,horizon-10034,lgi-obolite-sk-prod-master:10034
KOŠICE:DNES,programandroid-1211,1211
KRB,o2-666,KRB
Krimi Barrandov,o2-65,Barrandov Plus
Lala,LalaTV.sk,Lala+TV
LALA TV,mujtvprogram-728,728
Lala TV,o2-100,LalaTV
Lala TV,programandroid-1245,1245
Leo,programandroid-200,200
Leo Gold,LeoTVGold.cz,Leo+TV+Gold
LEO TV,mujtvprogram-127,127
Leo TV Gold,programandroid-1241,1241
Leo TV HD,horizon-10134,lgi-obolite-sk-prod-master:10134
LifeTV,programandroid-1146,1146
Liptov,programandroid-142,142
Lounge,LoungeTV.cz,Lounge+TV
Lounge TV,programandroid-1272,1272
Love Nature,LoveNature.ca,Love+Nature
Love Nature,programandroid-1320,1320
Love Nature HD,mujtvprogram-808,808
Lux,programandroid-191,191
m1 HD,horizon-10138,lgi-obolite-sk-prod-master:10138
m2,horizon-10139,lgi-obolite-sk-prod-master:10139
m4 Sport HD,horizon-10141,lgi-obolite-sk-prod-master:10141
m5,horizon-10140,lgi-obolite-sk-prod-master:10140
Magyar ATV,horizon-10147,lgi-obolite-sk-prod-master:10147
Mall.TV,o2-187,Letiste
Markiza HD,horizon-10003,lgi-obolite-sk-prod-master:10003
Markíza,mujtvprogram-183,183
Markíza,programandroid-8,8
Markíza International,MarkizaInternational.sk,Mark%EDza+International
Markíza International,mujtvprogram-495,495
Markíza International,programandroid-1124,1124
Markíza Krimi,MarkizaKrimi.sk,Mark%EDza+KRIMI
Markíza Krimi,mujtvprogram-1017,1017
Markíza KRIMI,programandroid-15402,15402
Mestská televízia Ružomberok,programandroid-1239,1239
Mezzo,horizon-10104,lgi-obolite-sk-prod-master:10104
Mezzo,mujtvprogram-67,67
Mezzo,o2-131,Mezzo
Mezzo Live,MezzoLiveHD.fr,Mezzo+Live+HD
Mezzo Live HD,mujtvprogram-383,383
Mezzo Live HD,o2-132,MezzoLiveHD
Minimax,horizon-10085,lgi-obolite-sk-prod-master:10085
Minimax,mujtvprogram-32,32
Minimax,programandroid-57,57
Mnam TV HD,horizon-10036,lgi-obolite-sk-prod-master:10036
Mnau TV,horizon-10037,lgi-obolite-sk-prod-master:10037
MTV,o2-123,MTV
MTV,programandroid-234,234
MTV 00s,horizon-10096,lgi-obolite-sk-prod-master:10096
MTV 00s,mujtvprogram-66,66
MTV 00s,o2-125,VH1
MTV 80s,horizon-10097,lgi-obolite-sk-prod-master:10097
MTV 80s,mujtvprogram-106,106
MTV 80s,o2-126,VH1 Classic
MTV 90s,horizon-10095,lgi-obolite-sk-prod-master:10095
MTV 90s,mujtvprogram-158,158
MTV 90s,o2-128,MTV Rocks
MTV Europe,horizon-10092,lgi-obolite-sk-prod-master:10092
MTV Europe,mujtvprogram-20,20
MTV Europe CZ,mujtvprogram-149,149
MTV Hits,mujtvprogram-159,159
MTV Live HD,horizon-10093,lgi-obolite-sk-prod-master:10093
MTV Live HD,mujtvprogram-232,232
Music Box,mujtvprogram-132,132
Muzika Pervogo,horizon-10182,lgi-obolite-sk-prod-master:10182
Muzsika TV,horizon-10156,lgi-obolite-sk-prod-master:10156
Městská televize Trnava,programandroid-1193,1193
Mňam TV,mujtvprogram-423,423
Mňam TV,o2-114,Mňam TV
Mňam TV,programandroid-1012,1012
Mňau TV,mujtvprogram-568,568
Mňau TV,programandroid-1148,1148
Nat Geo Wild HD,horizon-10059,lgi-obolite-sk-prod-master:10059
Nat Geo WILD HD,o2-51,NatGeo Wild HD
National Geographic,mujtvprogram-21,21
National Geographic,o2-50,National Geographic
National Geographic HD,horizon-10058,lgi-obolite-sk-prod-master:10058
National Geographic HD,mujtvprogram-214,214
National Geographic HD,programandroid-232,232
National Geographic Wild,mujtvprogram-82,82
National Geographic Wild,programandroid-106,106
Nautical Channel,NauticalChannel.it,Nautical+Channel
Nick HD,o2-93,NickHD
Nick Jr.,horizon-10089,lgi-obolite-sk-prod-master:10089
Nick Jr.,o2-92,Nick Jr.
Nick Jr.,programandroid-572,572
Nick Jr. Czech,mujtvprogram-622,622
Nickelodeon,horizon-10088,lgi-obolite-sk-prod-master:10088
Nickelodeon,mujtvprogram-624,624
Nickelodeon,o2-91,Nickelodeon
Nickelodeon,programandroid-254,254
Nickelodeon (affiliate),programandroid-1271,1271
Nickelodeon Ukraine Pluto TV,o2-105,NickelodeonUkrainePlutoTV
NickToons,horizon-10090,lgi-obolite-sk-prod-master:10090
Nicktoons,mujtvprogram-759,759
Nicktoons,o2-94,Nicktoons
Nicktoons,programandroid-1314,1314
Nitro,horizon-10171,lgi-obolite-sk-prod-master:10171
Noe,programandroid-114,114
Noe TV HD,horizon-10035,lgi-obolite-sk-prod-master:10035
Noe+,programandroid-15474,15474
Nova,TVNova.cz,Nova
Nova,mujtvprogram-3,3
Nova,programandroid-1,1
Nova Action,NovaAction.cz,Nova+Action
Nova Action,mujtvprogram-558,558
Nova Action,programandroid-677,677
Nova ACTION HD,o2-9,Nova Action HD
Nova Cinema,NovaCinema.cz,Nova+Cinema
Nova Cinema,mujtvprogram-78,78
Nova Cinema,programandroid-132,132
Nova Cinema HD,o2-6,Nova Cinema HD
Nova Fun,NovaFun.cz,Nova+Fun
Nova Fun,mujtvprogram-560,560
Nova Fun,programandroid-707,707
Nova Fun HD,o2-7,Nova 2 HD
Nova Gold,NovaGold.cz,Nova+Gold
Nova Gold,mujtvprogram-559,559
Nova Gold,programandroid-712,712
Nova GOLD HD,o2-8,Nova Gold HD
Nova HD,o2-3,Nova HD
Nova International,mujtvprogram-494,494
Nova International,programandroid-1125,1125
Nova International HD,horizon-10022,lgi-obolite-sk-prod-master:10022
Nova Lady,NovaLady.cz,Nova+Lady
Nova Lady,mujtvprogram-921,921
Nova Lady,o2-10,NovaLady
Nova Lady,programandroid-15290,15290
Nova Sport 1,NovaSport1.cz,Nova+Sport+1
Nova Sport 1,mujtvprogram-17,17
Nova Sport 1,programandroid-205,205
Nova Sport 1 HD,horizon-10080,lgi-obolite-sk-prod-master:10080
Nova Sport 1 HD,o2-77,Nova Sport 1 HD
Nova Sport 2,NovaSport2.cz,Nova+Sport+2
Nova Sport 2,mujtvprogram-466,466
Nova Sport 2,programandroid-1038,1038
Nova Sport 2 HD,horizon-10081,lgi-obolite-sk-prod-master:10081
Nova Sport 2 HD,o2-78,Nova Sport 2 HD
Nova Sport 3,NovaSport3.cz,Nova+Sport+3
Nova Sport 3,mujtvprogram-904,904
Nova Sport 3,programandroid-1520,1520
Nova Sport 3 HD,o2-79,NovaSport3HD
Nova Sport 4,NovaSport4.cz,Nova+Sport+4
Nova Sport 4,mujtvprogram-905,905
Nova Sport 4,programandroid-1521,1521
Nova Sport 4 HD,o2-80,NovaSport4HD
Náš region TV,mujtvprogram-296,296
Náš REGION TV,programandroid-681,681
O!,horizon-10181,lgi-obolite-sk-prod-master:10181
O2 Info 1,programandroid-1025,1025
O2 Sport,programandroid-1040,1040
O2 TV Fotbal,O2TVFotbal.cz,O2TV+Fotbal
O2 TV Sport,O2TVSport.cz,O2+Sport
O2 TV Sport 2,O2TVSport2.cz,O2+Sport2
O2 TV Sport 3,O2TVSport3.cz,O2+Sport3
O2 TV Sport 4,O2TVSport4.cz,O2+Sport4
O2 TV Sport 5,O2TVSport5.cz,O2+Sport5
O2 TV Sport 6,O2TVSport6.cz,O2+Sport6
O2 TV Tenis,O2TVTenis.cz,O2TV+Tenis
O2TV Fotbal,programandroid-1140,1140
O2TV Fotbal HD,o2-19,O2FotbalHD1
O2TV Fotbal HD,o2-71,O2 Fotbal HD
O2TV Info HD,o2-12,O2 Info
O2TV SPORT HD,o2-5,O2 Sport
O2TV Sport HD,o2-70,O2 Sport HD
O2TV Sport1 HD,o2-551,O2 Sport1 HD
O2TV Sport2,programandroid-15239,15239
O2TV Sport2 HD,o2-552,O2 Sport2 HD
O2TV Sport3,programandroid-15237,15237
O2TV Sport3 HD,o2-553,O2 Sport3 HD
O2TV Sport4,programandroid-15238,15238
O2TV Sport4 HD,o2-554,O2 Sport4 HD
O2TV Sport5,programandroid-15297,15297
O2TV Sport5 HD,o2-555,O2 Sport5 HD
O2TV Sport6,programandroid-15298,15298
O2TV Sport6 HD,o2-556,O2 Sport6 HD
O2TV Sport7 HD,o2-557,O2 Sport7 HD
O2TV Sport8 HD,o2-558,O2 Sport8 HD
O2TV Tenis,programandroid-1161,1161
O2TV Tenis HD,o2-20,O2TenisHD1
O2TV Tenis HD,o2-72,O2 Tenis HD
OIK TV,programandroid-251,251
Orange Sport 2 HD,programandroid-1306,1306
Orange Sport 3 HD,programandroid-1307,1307
Orange Sport 4 HD,programandroid-1308,1308
Orange Sport HD,programandroid-1305,1305
ORF 1,horizon-10115,lgi-obolite-sk-prod-master:10115
ORF 2,horizon-10116,lgi-obolite-sk-prod-master:10116
ORF III,horizon-10117,lgi-obolite-sk-prod-master:10117
Outdoor Channel,OutdoorChannel.us,Outdoor+Channel
Paprika,programandroid-62,62
Paramount Network,ParamountNetworkCzechRepublic.cz,Paramount+Network
Paramount Network,mujtvprogram-475,475
Paramount Network,o2-15,Paramount Network
Paramount Network,programandroid-1123,1123
Park TV,horizon-10070,lgi-obolite-sk-prod-master:10070
Park TV,programandroid-1228,1228
Park TV,programandroid-15472,15472
Playboy,mujtvprogram-103,103
Playboy TV Europe,PlayboyTVEurope.us,Playboy+TV
PLUS,mujtvprogram-184,184
Pobeda,horizon-10179,lgi-obolite-sk-prod-master:10179
Poekhali!,horizon-10176,lgi-obolite-sk-prod-master:10176
POLAR,programandroid-589,589
Poslanecká sněmovna ČR,programandroid-15408,15408
Power TV,mujtvprogram-699,699
Power TV,programandroid-1206,1206
Praha TV,o2-188,Praha TV
PRAHA TV,programandroid-889,889
Premier Sport,mujtvprogram-528,528
Premier Sport 1,PremierSport1.sk,Premier+Sport+1
Premier Sport 1,programandroid-985,985
Premier Sport 1 HD,o2-21,PremierSportHD1
Premier Sport 1 HD,o2-74,PremierSportHD
Premier Sport 2,PremierSport2.sk,Premier+Sport+2
Premier Sport 2,mujtvprogram-902,902
Premier Sport 2,programandroid-1522,1522
Premier Sport 2 HD,o2-22,PremierSport2HD1
Premier Sport 2 HD,o2-75,PremierSport2HD
Prim KRIMI,mujtvprogram-608,608
Prima,Prima.cz,Prima
Prima,mujtvprogram-4,4
Prima,programandroid-4,4
Prima COOL,mujtvprogram-92,92
Prima Cool,programandroid-220,220
Prima COOL HD,horizon-10029,lgi-obolite-sk-prod-master:10029
Prima Cool HD,o2-26,Prima Cool HD
Prima HD,o2-4,Prima HD
Prima Krimi,programandroid-1196,1196
Prima KRIMI HD,horizon-10027,lgi-obolite-sk-prod-master:10027
Prima Krimi HD,o2-29,Prima Krimi HD
Prima Love,mujtvprogram-226,226
Prima LOVE,programandroid-496,496
Prima love HD,horizon-10030,lgi-obolite-sk-prod-master:10030
Prima LOVE HD,o2-28,Prima LOVE HD
Prima MAX,mujtvprogram-474,474
Prima MAX,programandroid-1122,1122
Prima MAX HD,horizon-10028,lgi-obolite-sk-prod-master:10028
Prima MAX HD,o2-27,Prima MAX HD
Prima PLUS,mujtvprogram-556,556
Prima Plus,programandroid-1162,1162
Prima PLUS HD,horizon-10023,lgi-obolite-sk-prod-master:10023
Prima Show,PrimaShow.cz,Prima+Show
Prima Show,mujtvprogram-923,923
Prima Show,o2-45,PrimaShow
Prima Show,programandroid-15292,15292
Prima Star,PrimaStar.cz,Prima+Star
Prima STAR,mujtvprogram-897,897
Prima Star,o2-44,PrimaStar
Prima Star,programandroid-1513,1513
Prima Zoom,PrimaZoom.cz,Prima+ZOOM
Prima ZOOM,mujtvprogram-333,333
Prima ZOOM,programandroid-708,708
Prima ZOOM HD,horizon-10031,lgi-obolite-sk-prod-master:10031
Prima ZOOM HD,o2-52,Prima ZOOM HD
Private TV,mujtvprogram-74,74
ProSieben,horizon-10165,lgi-obolite-sk-prod-master:10165
RAI 1,o2-159,RAI 1
Reality Kings HD,horizon-10189,lgi-obolite-sk-prod-master:10189
Rebel,Rebel.cz,Rebel
Rebel,mujtvprogram-365,365
Rebel,o2-185,Rebel
Rebel,programandroid-879,879
regiony+,programandroid-878,878
Regionální TV,RegionalniTV.cz,regionalnitelevize.cz
RELAX,horizon-10106,lgi-obolite-sk-prod-master:10106
RELAX,mujtvprogram-314,314
Relax,o2-186,RELAX
RELAX,programandroid-716,716
Retro,mujtvprogram-206,206
Retro Music,programandroid-248,248
Retro Music TV,horizon-10098,lgi-obolite-sk-prod-master:10098
Retro Music TV,o2-124,Retro Music TV
Rik,Rik.sk,Rik+TV
RiK TV,o2-95,RiKTV
Rik TV,programandroid-1408,1408
Rimava,programandroid-15430,15430
Romana,programandroid-1326,1326
RT Ústecko,programandroid-1024,1024
RTL,o2-155,RTL
RTL DE,horizon-10166,lgi-obolite-sk-prod-master:10166
RTL Gold,horizon-10153,lgi-obolite-sk-prod-master:10153
RTL HAROM,horizon-10154,lgi-obolite-sk-prod-master:10154
RTL HU,horizon-10142,lgi-obolite-sk-prod-master:10142
RTL II,o2-156,RTL II
RTL KETTO,horizon-10143,lgi-obolite-sk-prod-master:10143
RTL Zwei,horizon-10167,lgi-obolite-sk-prod-master:10167
RTM,programandroid-252,252
