Penthouse Gold,,Prima PLUS HD,,Sport 1 HD,,TV Noe,,249,Viasat Nature,viasatnature.png,České,55|129|
Penthouse Reality TV,,Rebel,,Sport 2 HD,,TV8 HD,,848,ZAK,zak.png,České,||
Playboy TV Europe,,RELAX,,SPORT5,,UP NETWORK,,228,Disney Channel,disneychannel.png,České,90|160|
Prima COOL HD,,Retro,,Šláger Muzika,,Viasat Explore,,1138,Extasy,extasy.png,České,||
Prima HD,,RTVS ŠPORT HD,,Šláger Originál,,Viasat History HD,,1023,JOJ Cinema,joj_cinema.png,České,40|70|
Prima KRIMI HD,,RTVS 24 HD,,Šlágr Premium HD,,Viasat Nature HD,,1140,O2TV Fotbal,o2tv_fotbal.png,České,71||
Prima LOVE HD,,Senzi,,TA3 HD,,VIXEN HD,,223,Investigation Discovery,id.png,České,59||
Prima MAX HD,,Skylink 7,,Televize Seznam,,WAU HD,,83,FashionTV,FashionTV.png,České,116||
Prima Show,,Sky News International,,Travelxp HD,,,1141,JOJ Family,joj_family.png,České,45|48|
Prima STAR,,Spektrum HD,,TV Barrandov HD,,,1148,Mňau TV,mnau.png,České,|41|
Prima ZOOM HD,,Spektrum Home,,TV Lux HD,,,1149,CS Film,csfilm.png,České,26||
Rebel,,Sport 1 DE,,TV Noe,,,1161,O2TV Tenis,o2tv_tenis.png,České,72||
RELAX,,Sport 1 HD,,TV8 HD,,,1169,UP NETWORK,up_network.png,České,115|57|
Retro,,Sport 2 HD,,UP NETWORK,,,1187,CS History,cshistory.png,České,||
RTVS 24 HD,,SPORT5,,Viasat Explore,,,1190,TV Brno 1,tvbrno1.png,České,||
Senzi,,Stingray Classica HD,,Viasat History HD,,,1192,Seznam.cz TV,seznamcztv.png,České,11||
Skylink 7,,Stingray CMusic,,Viasat Nature HD,,,708,Prima ZOOM,prima_zoom.png,České,8|18|
Sky News International,,Stingray iConcerts HD,,VIXEN HD,,,1198,Šlágr Muzika,slagrmuzika.png,České,||
Spektrum HD,,Šláger Muzika,,,,1199,Travelxp HD,travelxp.png,České,||
Spektrum Home,,Šláger Originál,,,,1206,Power TV,powertv.png,České,||
Sport 1 DE,,Šlágr Premium HD,,,,1208,RTM plus Liberecko,rtmplus.png,České,||
Sport 1 HD,,TA3 HD,,,,1209,Epic Drama,epicdrama.png,České,36||
Sport 2 HD,,Travelxp HD,,,,1213,Hobby TV,hobbytv.png,České,||
SPORT5,,TV Lux HD,,,,1228,Park TV,parktv.png,České,||
Stingray Classica HD,,TV Noe,,,,1236,Top Kids,topkids.png,České,||
Stingray CMusic,,TV Paprika,,,,1241,Leo TV Gold,leo_gold.png,České,||
Stingray iConcerts HD,,TV8 HD,,,,1242,Óčko Black,ocko_black.png,České,122|28|
Šláger Muzika,,UP NETWORK,,,,1244,TV Natura,tvnatura.png,České,||
Šláger Originál,,Viasat Explore,,,,1245,Lala TV,lalatv.png,České,||
Šlágr Premium HD,,Viasat History HD,,,,1271,Nickelodeon (affiliate),nickelodeon.png,České,||
TA3 HD,,Viasat Nature HD,,,,168,Cartoon Network,CNT.png,České,||
Televize Seznam,,Vivid TV Europe,,,,1272,Lounge TV,loungetv.png,České,||
Travelxp HD,,VIXEN HD,,,,1314,Nicktoons,nicktoons.png,České,||
TV Barrandov HD,,WAU HD,,,,1320,Love Nature,lovenature.png,České,||
TV Lux HD,,,,,1333,ČT3,ct3.png,České,||
TV Noe,,,,,1338,CNN Prima News,cnnprima.png,České,||
TV Paprika,,,,,1337,ABC TV,abctv.png,České,||
TV8 HD,,,,,1341,Film Europe +,filmeuropeplus.png,České,||
UP NETWORK,,,,,572,Nick Jr.,nickjr.png,České,92|167|
Viasat Explore,,,,,1367,Šlágr Premium,slagrpremium.png,České,||
Viasat History HD,,,,,1449,Canal+ Domo,canal_domo.png,České,||
Viasat Nature HD,,,,,1513,Prima Star,prima_star.png,České,||
Vivid TV Europe,,,,,1520,Nova Sport 3,nova_sport_3.png,České,||
VIXEN HD,,,,,1521,Nova Sport 4,nova_sport_4.png,České,||
,,,,1522,Premier Sport 2,premiersport2.png,České,||
,,,,15290,Nova Lady,novalady.png,České,||
,,,,15292,Prima Show,prima_show.png,České,||
,,,,15297,O2TV Sport5,o2tv_sport5.png,České,||
,,,,15298,O2TV Sport6,o2tv_sport65.png,České,||
,,,,15299,Extasy 4K Platinum,extasy4k.png,České,||
,,,,15322,HGTV,hgtv.png,České,||
,,,,15237,O2TV Sport3,o2tv_sport3.png,České,||
,,,,15238,O2TV Sport4,o2tv_sport4.png,České,||
,,,,15239,O2TV Sport2,o2tv_sport2.png,České,||
,,,,15408,Poslanecká sněmovna ČR,pspcz.png,České,||
,,,,15410,UTV,utv.png,České,||
,,,,15412,Canal+ Sport,canalplussport.png,České,||
,,,,687,Arena Sport 1,arenasport.png,Slovenské,|110|
,,,,800,Arena Sport 2,arenasport2.png,Slovenské,||
,,,,150,duck.tv,ducktv.png,Slovenské,98|163|
,,,,222,ducktv,ducktv.png,Slovenské,||
,,,,524,CETV,cetv.png,Slovenské,||
,,,,985,Premier Sport 1,premiersport.png,Slovenské,||
,,,,225,Doma,doma.png,Slovenské,|501|
,,,,33,JOJ,JOJ.png,Slovenské,13||
,,,,206,JOJ Plus,joj_plus.png,Slovenské,15|505|
,,,,1013,TV9 KTV,tv9.png,Slovenské,||
,,,,142,Liptov,liptov.png,Slovenské,||
,,,,191,Lux,lux.png,Slovenské,|54|
,,,,8,Markíza,markiza.png,Slovenské,14|500|
,,,,1124,Markíza International,markiza_international.png,Slovenské,135|47|
,,,,1127,Rádio Vlna,vlna.png,Slovenské,|2020|
,,,,999,Jojko,jojko.png,Slovenské,|166|
,,,,833,SENZI,senzi.png,Slovenské,|32|
,,,,10,STV1,STV1.png,Slovenské,44|45|
,,,,11,STV2,STV2.png,Slovenské,|46|
,,,,42,TA3,ta3.png,Slovenské,144|53|
,,,,1021,Ťuki,tuki.png,Slovenské,||
,,,,241,TV OSEM,tv8.png,Slovenské,9|55|
,,,,735,TV Bratislava,tvba.png,Slovenské,||
,,,,683,TV DAJTO,dajto.png,Slovenské,|502|
,,,,718,WAU,wau.png,Slovenské,|506|
,,,,1143,Spartak TV,spartak.png,Slovenské,||
,,,,1146,LifeTV,lifetv.png,Slovenské,||
,,,,1162,Prima Plus,prima_plus.png,Slovenské,|507|
,,,,1164,Severka,severka.png,Slovenské,||
,,,,1165,Vega,vega.png,Slovenské,||
,,,,1173,TV Považie,povazie.png,Slovenské,||
,,,,1174,TV RAJ,tv_raj.png,Slovenské,||
,,,,1193,Městská televize Trnava,mtt.png,Slovenské,||
,,,,1194,TV7,tv7.png,Slovenské,||
,,,,1211,KOŠICE:DNES,kosicednes.png,Slovenské,||
,,,,1239,Mestská televízia Ružomberok,ruzomberok.png,Slovenské,||
,,,,1240,TV Levoča,levoca.png,Slovenské,||
,,,,1305,Orange Sport HD,orangesport.png,Slovenské,||
,,,,1306,Orange Sport 2 HD,orangesport2.png,Slovenské,||
,,,,1307,Orange Sport 3 HD,orangesport3.png,Slovenské,||
,,,,1308,Orange Sport 4 HD,orangesport4.png,Slovenské,||
,,,,1309,Folklorika,folklorika.png,Slovenské,||
,,,,1310,Senior,tvsenior.png,Slovenské,||
,,,,1125,Nova International,nova_international.png,Slovenské,|508|
,,,,1323,ducktv plus,ducktvplus.png,Slovenské,||
,,,,15291,JOJ Šport,joj_sport.png,Slovenské,||
,,,,1253,TV Ružinov,ruzinov.png,Slovenské,||
,,,,1315,Zemplín,zemplin.png,Slovenské,||
,,,,1324,RTVS 24,rtvs24.png,Slovenské,||
,,,,1326,Romana,romana.png,Slovenské,||
,,,,1363,HaHa TV,hahatv.png,Slovenské,||
,,,,1364,Televízia Východ,tvvychod.png,Slovenské,||
,,,,1408,Rik TV,rik.png,Slovenské,||
,,,,1472,B in Balance (sk),bib.png,Slovenské,||
,,,,1502,Chuck TV,chucktv.png,Slovenské,||
,,,,1512,RTVS Šport,rtvs_sport.png,Slovenské,||
,,,,1514,ArcadiaTV,arcadia.png,Slovenské,||
,,,,15321,TV SEN,tvsen.png,Slovenské,||
,,,,15402,Markíza KRIMI,markiza_krimi.png,Slovenské,||
,,,,15403,volant.tv,volanttv.png,Slovenské,||
,,,,15409,Západoslovenská televízia,zapadoslovenskatv.png,Slovenské,||
,,,,15426,RTV PD,rtvpd.png,Slovenské,||
,,,,15427,Šuriansky spravodaj,surianskyspravodaj.png,Slovenské,||
,,,,15428,TDT,tdt.png,Slovenské,||
,,,,15429,Televízia Dolný Kubín,dolnykubin.png,Slovenské,||
,,,,15430,Rimava,rimava.png,Slovenské,||
,,,,15431,Florena,florena.png,Slovenské,||
,,,,15440,Turbo TV,turbotv.png,Slovenské,||
,,,,15441,JOJ 24,joj_24.png,Slovenské,||
,,,,15450,TV Hronka,hronka.png,Slovenské,||
