CS Horror,,CS Mystery,,ČT2 HD,,Doma HD,,CS Horror,,CS Mystery,,ČT2 HD,,Doma HD,,805,ČT :D,ctd.png,České,|10|,805,ČT :D,ctd.png,České,|10|,455,Barrandov Krimi,30,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2997ac41a7346f4a000a80ed21c9ebe1&p2=80,cz
CS Mystery,,ČT1 HD,,ČT24 HD,,ducktv,,CS Mystery,,ČT1 HD,,ČT24 HD,,ducktv,,804,ČT art,ctart.png,České,|10|,804,ČT art,ctart.png,České,|10|,181,Jednotka,33,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=af41e26050d9dbe2388a68dc9fb87f10&p2=80,sk
ČT art HD,,ČT2 HD,,Disney Channel,,Dvojka HD,,ČT art HD,,ČT2 HD,,Disney Channel,,Dvojka HD,,65,ČT24,ct24.png,České,12|8|,65,ČT24,ct24.png,České,12|8|,180,Dvojka,34,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=790271bf84f7851efcdc0a12076fd4f7&p2=80,sk
ČT :D HD,,ČT24 HD,,ducktv,,Earthx TV,,ČT :D HD,,ČT24 HD,,ducktv,,Earthx TV,,73,ČT4 Sport,ct4.png,České,76|9|,73,ČT4 Sport,ct4.png,České,76|9|,1016,RTVS 24,36,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=97c4094b535828580db20c8d7166bd80&p2=80,sk
ČT Sport HD,,DAJTO HD,,Dvojka HD,,Epic Drama HD,,ČT Sport HD,,DAJTO HD,,Dvojka HD,,Epic Drama HD,,15,Discovery,Discovery.png,České,56|121|,15,Discovery,Discovery.png,České,56|121|,185,JOJ,37,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=62c2a4ee85ca43296f502887aa2249ee&p2=80,sk
ČT1 HD,,Disney Channel,,Earthx TV,,EuroNews,,ČT1 HD,,Disney Channel,,Earthx TV,,EuroNews,,92,Discovery Science,discoveryscience.png,České,58||,92,Discovery Science,discoveryscience.png,České,58||,183,Markíza,38,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=169623c0f6ffdf692434641b8e32f6be&p2=80,sk
ČT2 HD,,DocuBox,,Epic Drama HD,,FightBox,,ČT2 HD,,DocuBox,,Epic Drama HD,,FightBox,,1129,DTX,dtx.png,České,||,1129,DTX,dtx.png,České,||,459,JOJ Cinema,40,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=2c14c2cb14a6ab09ecc930c06de52c2f&p2=80,sk
ČT24 HD,,Doma HD,,EuroNews,,Film+,,ČT24 HD,,Doma HD,,EuroNews,,Film+,,9,Eurosport 1,eurosport1.png,České,77|100|,9,Eurosport 1,eurosport1.png,České,77|100|,182,Doma,43,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=a24db5474fe8f3e05027887241012d65&p2=80,sk
Disney Channel,,Dorcel TV,,FightBox,,FilmBox,,Disney Channel,,Dorcel TV,,FightBox,,FilmBox,,59,Eurosport 2,eurosport2.png,České,78|101|,59,Eurosport 2,eurosport2.png,České,78|101|,308,Dajto,50,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=8fcc62001cbc120a3a68b09e7ddeb116&p2=80,sk
DocuBox,,Dorcel XXX,,Film+,,FilmBox Extra HD,,DocuBox,,Dorcel XXX,,Film+,,FilmBox Extra HD,,591,Erox HD,eroxhd.png,České,||,591,Erox HD,eroxhd.png,České,||,184,PLUS,52,https://services.mujtvprogram.cz/tvprogram2services/services/logoImageDownloader.php?p1=1afc210ac052b9273f87bf5fdaf516c9&p2=80,sk
