tconst	averageRating	numVotes
tt0274558	7.5	132731
tt0275847	7.3	192240
tt0276751	7.1	184845
tt0276919	8.0	149806
tt0277027	7.6	150833
tt0277296	5.5	139494
tt0277371	5.7	107107
tt0277434	7.1	143281
tt0278504	7.2	296622
tt0279600	7.5	128699
tt0280590	5.8	145584
tt0281358	7.3	212340
tt0283111	6.4	110864
tt0285331	8.4	187030
tt0285403	8.4	256694
tt0285823	6.3	163286
tt0286106	6.8	364769
tt0286499	6.7	111473
tt0286716	5.6	269264
tt0287467	7.9	113131
tt0287978	5.3	221140
tt0288477	5.5	102206
tt0289043	7.5	416090
tt0289765	7.2	275130
tt0289879	7.6	490800
tt0289992	7.5	121350
tt0290002	6.3	272598
tt0290334	7.4	551633
tt0290673	7.3	136168
tt0290978	8.5	113623
tt0292506	6.6	137219
tt0292963	7.3	105104
tt0293429	6.1	173524
tt0293508	7.2	124030
tt0293564	6.2	170027
tt0293662	6.8	305124
tt0295178	6.2	211670
tt0295297	7.4	634106
tt0295700	6.1	121522
tt0295701	5.8	180823
tt0296572	6.6	230146
tt0298130	7.1	351878
tt0298148	7.3	464000
tt0298203	7.2	291405
tt0298814	5.5	101611
tt0299658	7.2	231410
tt0299977	7.9	182129
tt0300471	6.2	107336
tt0301357	7.7	146980
tt0302886	7.0	233523
tt0303461	9.0	265954
tt0304141	7.9	633168
tt0305224	6.2	217266
tt0305357	4.9	128649
tt0306047	5.5	148882
tt0306414	9.3	339408
tt0307453	6.0	184661
tt0307901	7.6	179689
tt0307987	7.1	144616
tt0308644	7.7	207185
tt0309593	6.2	169122
tt0309698	7.3	250435
tt0309987	7.1	122777
tt0310793	8.0	145132
tt0311113	7.4	223072
tt0311429	5.8	177157
tt0312004	7.5	137215
tt0313737	6.1	119621
tt0314331	7.6	481714
tt0314353	6.6	123524
tt0315327	6.8	405315
tt0315733	7.6	238062
tt0316654	7.4	653068
tt0317198	6.0	114949
tt0317219	7.2	422685
tt0317248	8.6	755484
tt0317705	8.0	736098
tt0317740	7.0	370110
tt0317919	6.9	358136
tt0318462	7.8	101852
tt0318627	6.1	200991
tt0319061	8.0	442255
tt0319262	6.4	449833
tt0319343	7.0	269233
tt0320661	7.2	290318
tt0320691	7.0	271668
tt0322259	5.9	275355
tt0322330	6.3	140412
tt0324216	6.2	144274
tt0325703	5.5	139453
tt0325710	7.8	442140
tt0325805	7.3	132289
tt0325980	8.1	1124664
tt0327056	7.9	457361
tt0327084	6.7	176522
tt0327554	3.4	120330
tt0327597	7.7	231357
tt0327850	6.6	108314
tt0328107	7.7	364699
tt0328828	6.3	207707
tt0328880	6.8	112178
tt0329101	5.7	120833
tt0330373	7.7	625501
tt0330793	6.4	161663
tt0332280	7.8	573307
tt0332379	7.2	307424
tt0332452	7.3	535990
tt0333766	7.4	217425
tt0335245	6.2	105513
tt0335266	7.7	455867
tt0335345	7.2	232666
tt0335438	6.1	148520
tt0337563	6.2	193990
tt0337741	6.7	122956
tt0337921	6.5	101710
tt0337978	7.1	407149
tt0338013	8.3	1005195
tt0338337	6.3	109462
tt0338348	6.6	209271
tt0338526	6.0	268394
tt0338564	8.0	125395
tt0338751	7.5	362801
tt0339291	6.8	210561
tt0340163	6.5	111177
tt0340855	7.3	153011
tt0342258	7.0	103673
tt0343135	6.0	136889
tt0343660	6.8	357122
tt0343737	6.7	104199
tt0343818	7.1	541596
tt0346491	5.6	170762
tt0347149	8.2	395021
tt0348150	6.1	284227
tt0348836	5.8	114079
tt0348914	8.6	107890
tt0349205	5.9	103179
tt0349683	6.3	169250
tt0349903	6.5	392045
tt0350258	7.7	148942
tt0351283	6.9	405321
tt0352248	8.0	188922
tt0353969	8.1	184662
tt0355295	5.9	122259
tt0356150	6.6	210890
tt0356910	6.5	498323
tt0357413	7.1	358835
tt0358082	6.4	148900
tt0358273	7.8	252330
tt0359013	5.8	179278
tt0359950	7.3	318793
tt0360486	7.0	348661
tt0360717	7.2	424551
tt0361596	7.5	130001
tt0361748	8.3	1441731
tt0361862	7.7	391680
tt0362120	5.1	122597
tt0362227	7.4	460575
tt0362270	7.2	198482
tt0363163	8.2	356432
tt0363547	7.3	257098
tt0363771	6.9	399566
tt0363988	6.5	198472
tt0364569	8.4	578549
tt0364725	6.7	251358
tt0364845	7.8	148024
tt0365737	6.9	130994
tt0365748	7.9	559390
tt0365830	6.8	110067
tt0365907	6.5	122470
tt0366548	6.4	187439
tt0366551	7.0	197415
tt0366627	7.1	114426
tt0367279	8.7	305147
tt0367594	6.7	481969
tt0367882	6.2	455327
tt0367959	6.1	111038
tt0368008	6.6	111646
tt0368447	6.6	262970
tt0368891	6.9	334182
tt0369179	7.1	264138
tt0369339	7.5	405908
tt0369441	6.1	146770
tt0369610	6.9	643164
tt0370263	5.6	202113
tt0371724	6.7	199848
tt0371746	7.9	1056505
tt0372183	7.7	464908
tt0372588	7.2	170431
tt0372784	8.2	1465850
tt0373051	5.8	123957
tt0373074	7.7	140870
tt0373469	7.5	228113
tt0373883	6.0	123564
tt0373889	7.5	581008
tt0373926	6.4	108024
